P_MASS,P_RADIUS,P_TEMP_EQUIL,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_MASS,S_RADIUS,P_FLUX,P_GRAVITY,P_ESI
13.5,2.37,377.95532,10.894843,0.0736,3600.0,0.45,0.42,4.8754019,2.403461,0.45212485
241.86742,12.027,1381.2943,2.6453235,0.03772,5629.0,1.02,1.17,871.13031,1.6721019,0.074814943
108.0622,12.7,107.73869,2247.0,3.11,4913.0,0.79,0.77,0.032082069,0.66998698,0.10309791
563.83042,11.882,1612.0866,1.25785,0.022,5280.0,0.91,0.78,1603.8164,3.9936445,0.075039881
167.49641,12.576,873.50186,4.9816819,0.0561,5315.0,0.95,0.89,138.64704,1.0590597,0.078418033
98.841,16.388,1263.3512,4.8996284,0.06,5940.0,1.2,1.39,604.91938,0.36803169,0.057504479
127.13136,9.303,525.53064,6.387597,0.052,3659.0,0.53,0.54,18.113122,1.4689488,0.14820347
1000.211,12.767,1291.1572,2.350621,0.03493,5587.0,1.03,0.96,660.34841,6.1364036,0.071421576
11.7,2.025,417.4643,5.746007,0.0385,3348.0,0.29,0.31,7.212379,2.8532236,0.41388817
10.0,3.41,806.66942,8.8803256,0.0804,5348.0,0.81,0.94,100.62287,0.85998572,0.20637786
136.6669,12.89,945.0978,4.61442,0.05179,5200.0,0.91,0.88,189.45592,0.82254091,0.07483415
52.3466,14.695,1357.3037,4.178062,0.0484,5620.0,0.95,1.33,805.95218,0.24240931,0.062868978
314.6517,13.54,1911.9449,3.0652907,0.04403,6229.0,1.21,1.2,3173.2379,1.7162982,0.066576873
225.6593,14.572,1332.0137,3.16158,0.04317,5990.0,1.05,1.08,747.54252,1.0627104,0.063440399
